"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat May 02 21:16:51 UTC 2026","Sat May 02 21:17:24 UTC 2026","33324","firefox","e2e/partidas-finalizadas-list.spec.ts","Lista de partidas finalizadas","","","@smoke @core renderiza pelo menos 1 card de partida",""
"broken","Sat May 02 21:15:46 UTC 2026","Sat May 02 21:16:19 UTC 2026","33475","mobile-chrome","e2e/match-modal-close.spec.ts","Modal de partida — botão Close","","","@core Botão Close (X) fecha modal de partida e volta pra home",""
"failed","Sat May 02 21:12:39 UTC 2026","Sat May 02 21:12:44 UTC 2026","4527","firefox","a11y/pages.spec.ts","","","","@a11y melhores momentos anônima sem violations serious/critical",""
"failed","Sat May 02 21:17:24 UTC 2026","Sat May 02 21:17:47 UTC 2026","22595","mobile-chrome","visual/pages.spec.ts","Visual regression","","","@visual modal de partida finalizada",""
"failed","Sat May 02 21:13:12 UTC 2026","Sat May 02 21:13:29 UTC 2026","16267","mobile-chrome","e2e/buscar-avancado.spec.ts","Busca avançada — typeahead, combos e reset","","","@core busca parcial por time ""Flam"" dispara /team/?name=Flam",""
"passed","Sat May 02 21:12:39 UTC 2026","Sat May 02 21:12:43 UTC 2026","4957","chromium","api/endpoint-match-notstarted.spec.ts","API GET /match/?status=NOTSTARTED","","","@api retorna 200 com envelope válido (mesmo com results vazios)",""
"passed","Sat May 02 21:15:17 UTC 2026","Sat May 02 21:15:31 UTC 2026","13178","firefox","e2e/nav-tabs-anonimas.spec.ts","Nav anônima — 2 tabs","","","@smoke @core tab ""Partidas"" volta para home /",""
"failed","Sat May 02 21:16:52 UTC 2026","Sat May 02 21:17:03 UTC 2026","11469","mobile-chrome","performance/lighthouse.spec.ts","","","","@perf lighthouse /",""
"skipped","Sat May 02 21:17:03 UTC 2026","Sat May 02 21:17:03 UTC 2026","0","mobile-chrome","performance/lighthouse.spec.ts","","","","@perf lighthouse /melhores-momentos",""
"broken","Sat May 02 21:16:54 UTC 2026","Sat May 02 21:17:28 UTC 2026","34300","mobile-chrome","e2e/partidas-finalizadas-list.spec.ts","Lista de partidas finalizadas","","","@smoke @core renderiza pelo menos 1 card de partida",""
"failed","Sat May 02 21:16:33 UTC 2026","Sat May 02 21:17:14 UTC 2026","40921","mobile-chrome","visual/pages.spec.ts","Visual regression","","","@visual home anônima",""
"passed","Sat May 02 21:12:43 UTC 2026","Sat May 02 21:12:48 UTC 2026","4542","chromium","api/endpoint-perf.spec.ts","API perf — /match/?status=ENDED","","","@api responde dentro do budget hard (<10s) e idealmente <2s",""
"skipped","Sat May 02 21:14:11 UTC 2026","Sat May 02 21:14:11 UTC 2026","8","webkit","e2e/calendario-page.spec.ts","/calendario — página dedicada (logado)","","","@core /calendario tem switch ""Partidas favoritas""",""
"passed","Sat May 02 21:14:06 UTC 2026","Sat May 02 21:14:35 UTC 2026","28367","webkit","e2e/calendar-mensal.spec.ts","Calendar mensal — home widget","","","@core click em um dia clicável do calendar muda state visual",""
"passed","Sat May 02 21:13:49 UTC 2026","Sat May 02 21:13:56 UTC 2026","7271","webkit","e2e/buscar-avancado.spec.ts","Busca avançada — typeahead, combos e reset","","","@core busca parcial por time ""Flam"" dispara /team/?name=Flam",""
"failed","Sat May 02 21:13:11 UTC 2026","Sat May 02 21:13:27 UTC 2026","15666","mobile-chrome","e2e/busca-multiplos-filtros.spec.ts","Busca com múltiplos filtros","","","@core combinar filtros time + campeonato sem erro",""
"skipped","Sat May 02 21:17:07 UTC 2026","Sat May 02 21:17:07 UTC 2026","0","firefox","performance/lighthouse.spec.ts","","","","@perf lighthouse /melhores-momentos",""
"broken","Sat May 02 21:14:36 UTC 2026","Sat May 02 21:15:13 UTC 2026","36654","firefox","e2e/buscar-avancado.spec.ts","Busca avançada — typeahead, combos e reset","","","@core limpar filtros (refresh / click logo) restaura listagem inicial",""
"failed","Sat May 02 21:15:53 UTC 2026","Sat May 02 21:16:25 UTC 2026","32207","chromium","visual/pages.spec.ts","Visual regression","","","@visual modal de partida finalizada",""
"failed","Sat May 02 21:15:20 UTC 2026","Sat May 02 21:15:35 UTC 2026","14889","webkit","e2e/nav-tabs-anonimas.spec.ts","Nav anônima — 2 tabs","","","@smoke @core tab ""Melhores momentos"" navega para /melhores-momentos",""
"skipped","Sat May 02 21:16:06 UTC 2026","Sat May 02 21:16:06 UTC 2026","0","webkit","e2e/profile-popover.spec.ts","Profile popover (avatar logado)","","","@core Avatar click abre popover com 4 ações (Editar, Excluir, Sair, Switch Google Calendar)",""
